City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
272,Ancud,CL,-41.8697,-73.8203,49.23,74,48,1.36,scattered clouds
273,Karratha,AU,-20.7377,116.8463,83.52,68,0,12.06,clear sky
274,Havre,FR,49.5833,0.3333,45.34,57,0,11.5,clear sky
275,Eydhafushi,MV,5.1033,73.0708,83.57,68,6,3.22,clear sky
276,Sambava,MG,-14.2667,50.1667,79.38,87,26,11.54,moderate rain
277,Zyryanovsk,KZ,49.7386,84.2719,30.27,98,100,0.94,overcast clouds
278,Ilulissat,GL,69.2167,-51.1,30.22,69,40,1.14,scattered clouds
279,Dawei,MM,14.0833,98.2,75.76,56,98,7.65,overcast clouds
280,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.9,71,22,11.36,few clouds
281,Provost,CA,52.3501,-110.2683,30.65,65,0,4.38,clear sky
282,Yinchuan,CN,38.4681,106.2731,57.72,10,94,5.12,overcast clouds
283,Huilong,CN,31.8111,121.655,46.44,66,0,7.65,clear sky
284,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,71,18,18.43,few clouds
285,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,11.5,scattered clouds
286,Provideniya,RU,64.3833,-173.3,2.98,73,0,10.56,clear sky
287,Umm Lajj,SA,25.0213,37.2685,83.46,40,100,7.23,overcast clouds
288,Hermosillo,MX,29.0667,-110.9667,62.69,54,40,5.99,scattered clouds
289,Kiri Buru,IN,22.0833,85.35,87.37,14,1,3.13,clear sky
290,Hasaki,JP,35.7333,140.8333,50.29,64,100,19.51,overcast clouds
291,Morondava,MG,-20.2833,44.2833,83.14,61,0,11.12,clear sky
292,Rio Grande,BR,-32.035,-52.0986,66.94,92,100,15.23,moderate rain
293,Hualmay,PE,-11.0964,-77.6139,70.59,79,34,6.93,scattered clouds
294,Talnakh,RU,69.4865,88.3972,6.13,98,99,3.42,overcast clouds
295,Wattegama,LK,6.7989,81.4808,75.83,89,40,1.66,moderate rain
296,Saint George,US,37.1041,-113.5841,57.79,40,0,10.36,clear sky
297,Roma,US,43.2128,-75.4557,36.73,86,100,6.91,snow
298,Cabra,ES,37.4725,-4.4421,59.67,37,100,1.01,overcast clouds
299,Wajid,SO,3.8093,43.2471,97.74,18,83,15.19,broken clouds
300,Bubaque,GW,11.2833,-15.8333,75.67,62,99,9.53,overcast clouds
301,Guilin,CN,25.2819,110.2864,57.31,65,0,3.47,clear sky
302,Imeni Poliny Osipenko,RU,52.4201,136.4853,35.17,88,100,14.56,overcast clouds
303,Nova Olimpia,BR,-14.7972,-57.2881,82.74,71,10,1.59,clear sky
304,Zhezkazgan,KZ,47.8043,67.7144,53.58,54,0,8.95,clear sky
305,Penzance,GB,50.1186,-5.5371,47.08,57,45,4.54,scattered clouds
306,Thunder Bay,CA,48.4001,-89.3168,38.28,72,75,4.61,broken clouds
307,Iwaki,JP,37.05,140.8833,47.77,93,100,1.43,light rain
308,Ambilobe,MG,-13.2,49.05,81.09,84,35,3.65,light rain
309,Barla,RO,44.4333,24.7667,49.53,47,6,25.03,clear sky
310,Mrakovo,RU,52.7161,56.6244,39.36,99,100,5.59,overcast clouds
311,Longyearbyen,SJ,78.2186,15.6401,8.44,56,20,19.57,few clouds
312,Araouane,ML,18.9048,-3.5265,103.51,7,2,3.91,clear sky
313,Guadalupe Y Calvo,MX,26.1,-106.9667,47.66,25,48,4.45,scattered clouds
314,Kamyshlov,RU,56.8428,62.7111,38.28,100,100,14.63,overcast clouds
